Text ID,Original Text,Tokens,Entities,Keywords
1,"Alice went skiing in February in Colorado. She joined the ski club recently. Alice said, 'I went skiing down green slopes and stumbled a lot, but it was fun.'","Alice,went,skiing,in,February,in,Colorado,.,She,joined,the,ski,club,recently,.,Alice,said,,,',I,went,skiing,down,green,slopes,and,stumbled,a,lot,,,but,it,was,fun,.,'","Alice (PERSON), February (DATE), Colorado (GPE), Alice (PERSON)","{'alice': 2, 'went': 2, 'skiing': 2, 'february': 1, 'colorado': 1, 'joined': 1, 'ski': 1, 'club': 1, 'recently': 1, 'said': 1, 'green': 1, 'slopes': 1, 'stumbled': 1, 'lot': 1, 'fun': 1}"
2,"Maria ran a marathon in New York City last weekend. She trained for months, and the event was challenging but rewarding. Maria shared, 'I felt incredible crossing the finish line.'","Maria,ran,a,marathon,in,New,York,City,last,weekend,.,She,trained,for,months,,,and,the,event,was,challenging,but,rewarding,.,Maria,shared,,,',I,felt,incredible,crossing,the,finish,line,.,'","Maria (PERSON), New York City (GPE), last weekend (DATE), months (DATE), Maria (PERSON)","{'maria': 2, 'ran': 1, 'marathon': 1, 'new': 1, 'york': 1, 'city': 1, 'weekend': 1, 'trained': 1, 'months': 1, 'event': 1, 'challenging': 1, 'rewarding': 1, 'shared': 1, 'felt': 1, 'incredible': 1, 'crossing': 1, 'finish': 1, 'line': 1}"
3,"John went hiking in the Rocky Mountains in August. He reached the summit just in time for the sunset. John remarked, 'It was a breathtaking view from up there.'","John,went,hiking,in,the,Rocky,Mountains,in,August,.,He,reached,the,summit,just,in,time,for,the,sunset,.,John,remarked,,,',It,was,a,breathtaking,view,from,up,there,.,'","John (PERSON), the Rocky Mountains (LOC), August (DATE), John (PERSON)","{'john': 2, 'went': 1, 'hiking': 1, 'rocky': 1, 'mountains': 1, 'august': 1, 'reached': 1, 'summit': 1, 'time': 1, 'sunset': 1, 'remarked': 1, 'breathtaking': 1, 'view': 1}"
4,"Sarah spent the day at the beach in California last Saturday. She built sandcastles and swam in the ocean. Sarah laughed, 'The water was perfect for swimming.'","Sarah,spent,the,day,at,the,beach,in,California,last,Saturday,.,She,built,sandcastles,and,swam,in,the,ocean,.,Sarah,laughed,,,',The,water,was,perfect,for,swimming,.,'","Sarah (PERSON), the day (DATE), California (GPE), last Saturday (DATE), Sarah (PERSON)","{'sarah': 2, 'spent': 1, 'day': 1, 'beach': 1, 'california': 1, 'saturday': 1, 'built': 1, 'sandcastles': 1, 'swam': 1, 'ocean': 1, 'laughed': 1, 'water': 1, 'perfect': 1, 'swimming': 1}"
5,"James participated in a chess tournament in London last month. He faced some tough opponents but managed to win first place. James smiled, 'It was a thrilling competition!'","James,participated,in,a,chess,tournament,in,London,last,month,.,He,faced,some,tough,opponents,but,managed,to,win,first,place,.,James,smiled,,,',It,was,a,thrilling,competition,!,'","James (PERSON), London (GPE), last month (DATE), first (ORDINAL), James (PERSON)","{'james': 2, 'participated': 1, 'chess': 1, 'tournament': 1, 'london': 1, 'month': 1, 'faced': 1, 'tough': 1, 'opponents': 1, 'managed': 1, 'win': 1, 'place': 1, 'smiled': 1, 'thrilling': 1, 'competition': 1}"
6,"Emma visited Paris for the first time last summer. She toured the Eiffel Tower and explored the Louvre Museum. Emma exclaimed, 'The art and architecture were amazing!'","Emma,visited,Paris,for,the,first,time,last,summer,.,She,toured,the,Eiffel,Tower,and,explored,the,Louvre,Museum,.,Emma,exclaimed,,,',The,art,and,architecture,were,amazing,!,'","Emma (PERSON), Paris (GPE), first (ORDINAL), last summer (DATE), the Eiffel Tower (FAC), the Louvre Museum (ORG), Emma (PERSON)","{'emma': 2, 'visited': 1, 'paris': 1, 'time': 1, 'summer': 1, 'toured': 1, 'eiffel': 1, 'tower': 1, 'explored': 1, 'louvre': 1, 'museum': 1, 'exclaimed': 1, 'art': 1, 'architecture': 1, 'amazing': 1}"
7,"David ran a 5K race in his hometown last Sunday. He trained for a month and felt accomplished crossing the finish line. David said, 'I can't wait for the next race!'","David,ran,a,5,K,race,in,his,hometown,last,Sunday,.,He,trained,for,a,month,and,felt,accomplished,crossing,the,finish,line,.,David,said,,,',I,ca,n't,wait,for,the,next,race,!,'","David (PERSON), 5 (CARDINAL), last Sunday (DATE), a month (DATE), David (PERSON)","{'david': 2, 'ran': 1, 'k': 1, 'race': 2, 'hometown': 1, 'sunday': 1, 'trained': 1, 'month': 1, 'felt': 1, 'accomplished': 1, 'crossing': 1, 'finish': 1, 'line': 1, 'said': 1, 'wait': 1}"
8,"Sophia went camping in the Appalachian Mountains last autumn. She set up a tent by a beautiful lake and cooked dinner over a campfire. Sophia enjoyed, 'The peace and quiet were just what I needed.'","Sophia,went,camping,in,the,Appalachian,Mountains,last,autumn,.,She,set,up,a,tent,by,a,beautiful,lake,and,cooked,dinner,over,a,campfire,.,Sophia,enjoyed,,,',The,peace,and,quiet,were,just,what,I,needed,.,'","Sophia (PERSON), the Appalachian Mountains (LOC), last autumn (DATE), Sophia (PERSON)","{'sophia': 2, 'went': 1, 'camping': 1, 'appalachian': 1, 'mountains': 1, 'autumn': 1, 'set': 1, 'tent': 1, 'beautiful': 1, 'lake': 1, 'cooked': 1, 'dinner': 1, 'campfire': 1, 'enjoyed': 1, 'peace': 1, 'quiet': 1, 'needed': 1}"
9,"Liam attended a cooking class in Rome last spring. He learned to make traditional Italian pasta dishes. Liam said, 'I can’t wait to try these recipes at home!'","Liam,attended,a,cooking,class,in,Rome,last,spring,.,He,learned,to,make,traditional,Italian,pasta,dishes,.,Liam,said,,,',I,ca,n’t,wait,to,try,these,recipes,at,home,!,'","Liam (PERSON), Rome (GPE), last spring (DATE), Italian (NORP), Liam (PERSON)","{'liam': 2, 'attended': 1, 'cooking': 1, 'class': 1, 'rome': 1, 'spring': 1, 'learned': 1, 'traditional': 1, 'italian': 1, 'pasta': 1, 'dishes': 1, 'said': 1, 'wait': 1, 'try': 1, 'recipes': 1, 'home': 1}"
10,"Olivia participated in a yoga retreat in Bali last year. She practiced mindfulness and meditation every morning. Olivia shared, 'It was the most relaxing experience of my life.'Ethan visited Tokyo during the cherry blossom season. He explored the vibrant city and took part in a tea ceremony. Ethan said, 'The culture here is incredible!'","Olivia,participated,in,a,yoga,retreat,in,Bali,last,year,.,She,practiced,mindfulness,and,meditation,every,morning,.,Olivia,shared,,,',It,was,the,most,relaxing,experience,of,my,life,.,'Ethan,visited,Tokyo,during,the,cherry,blossom,season,.,He,explored,the,vibrant,city,and,took,part,in,a,tea,ceremony,.,Ethan,said,,,',The,culture,here,is,incredible,!,'","Olivia (PERSON), Bali (GPE), last year (DATE), Olivia (PERSON), Tokyo (GPE), Ethan (PERSON)","{'olivia': 2, 'participated': 1, 'yoga': 1, 'retreat': 1, 'bali': 1, 'year': 1, 'practiced': 1, 'mindfulness': 1, 'meditation': 1, 'morning': 1, 'shared': 1, 'relaxing': 1, 'experience': 1, 'life': 1, 'visited': 1, 'tokyo': 1, 'cherry': 1, 'blossom': 1, 'season': 1, 'explored': 1, 'vibrant': 1, 'city': 1, 'took': 1, 'tea': 1, 'ceremony': 1, 'ethan': 1, 'said': 1, 'culture': 1, 'incredible': 1}"
